config_key,k1,b,fb_terms,fb_docs,original_weight,rrf_k,prf_fb_docs,prf_top_passages,expansion_terms,expansion_token_budget,batch_size,alpha,passage_size,passage_stride,rerank_k,map
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.35,256,64,500,0.3315450941687707
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,10,12,40,8,0.35,256,64,500,0.3269884165194988
MultiBranch__alpha=0.2__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.2,256,64,500,0.3181938197231402
MultiBranch__alpha=0.3__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.3,256,64,500,0.3281141970589853
MultiBranch__alpha=0.4__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.4,256,64,500,0.3352880280626752
MultiBranch__alpha=0.5__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.5,256,64,500,0.3388363045124418
MultiBranch__alpha=0.6__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.6,256,64,500,0.342872435783427
MultiBranch__alpha=0.2__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=40,0.6,0.4,100,5,0.4,40,10,5,12,40,8,0.2,256,64,500,0.3135294597675649
MultiBranch__alpha=0.3__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=40,0.6,0.4,100,5,0.4,40,10,5,12,40,8,0.3,256,64,500,0.3219933016062384
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,10,24,40,8,0.35,256,64,500,0.327612447729983
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,20,12,40,8,0.35,256,64,500,0.3176981136255091
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,20,24,40,8,0.35,256,64,500,0.3180151482647736
MultiBranch__alpha=0.6__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=60,0.6,0.4,100,5,0.4,60,10,5,12,40,8,0.6,256,64,500,0.3331157076456568
MultiBranch__alpha=0.7__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=60,0.6,0.4,100,5,0.4,60,10,5,12,40,8,0.7,256,64,500,0.3337724233987073
